1,2,3
"34.82034,135.72179",2002,23
"34.81413,135.71675",2009,58
"34.81428,135.71627",2009,50
"34.82121,135.72219",2002,116
"34.82139,135.72178",2002,90
"34.80218,135.70614",2009,13.7
"34.80200,135.70672",2009,16.1
"34.80210,135.70630",2009,14
"34.80196,135.70688",2009,17
"34.79851,135.70369",2009,69.8
"34.79861,135.70352",2009,69.8
"34.79633,135.70137",2009,106.4
"34.79645,135.70128",2009,106.4
"34.79412,135.69869",2009,303
"34.79435,135.69843",2009,303
"34.78569,135.68749",2009,1164.3
"34.78594,135.68730",2009,1157.7
"34.78109,135.67358",2009,42
"34.78143,135.67342",2009,41
"34.78087,135.67304",2009,41.8
"34.78122,135.67287",2009,41.8
"34.76853,135.65677",2006,11.4
"34.76885,135.65626",2006,11.7
"34.76123,135.64913",2009,23.7
"34.76137,135.64882",2007,11.1
"34.76097,135.64937",2007,11.1
"34.76054,135.64883",2007,33.3
"34.76082,135.64853",2007,33.3
"34.74992,135.63174",2009,20
"34.74998,135.63128",2009,23.2
"34.74992,135.63146",2009,20
"34.74689,135.62680",2009,35
"34.74703,135.62675",2009,35
"34.74564,135.62424",2009,30
"34.74594,135.62433",2009,28.4
"34.74584,135.62435",2009,29.8
"34.74480,135.62291",2009,11
"34.74449,135.62177",2009,17.3
"34.74462,135.62167",2009,17.3
"34.74350,135.61993",2009,282
"34.74365,135.61985",2009,282
"34.74314,135.61951",2009,30.6
"34.74336,135.61932",2009,32
"34.74349,135.61989",2009,21.2
"34.74338,135.61997",2009,21.6
"34.74376,135.61978",2009,21.2
"34.74361,135.61982",2009,21.2
"34.74197,135.61786",2009,39.2
"34.74220,135.61762",2009,40.6
"34.74165,135.61729",2009,527.9
"34.74172,135.61711",2009,527.9
"34.73852,135.61381",2009,71.7
"34.73809,135.61329",2009,457.4
"34.73809,135.61301",2009,457.8
"34.73731,135.61210",2009,63.2
"34.73110,135.60640",2009,140.8
"34.73115,135.60624",2009,140.8
"34.72122,135.59917",2009,385.8
"34.72129,135.59897",2009,385.8
"34.71718,135.59034",2009,29
"34.83722,135.69468",1961,31.1
"34.83717,135.69474",1975,31.1
"34.83729,135.69460",1975,31.1
"34.82899,135.68703",1962,42.1
"34.82893,135.68713",1988,42.1
"34.82905,135.68693",1988,42.1
"34.82798,135.68581",1961,6.6
"34.82792,135.68591",1981,14
"34.82041,135.67680",1973,8.6
"34.81311,135.66747",1983,172.8
"34.81193,135.66501",1961,11.9
"34.81218,135.66535",1983,60.9
"34.81008,135.66100",1978,263.5
"34.80923,135.65871",1962,13.6
"34.80943,135.65890",1978,61
"34.80860,135.65724",1976,59.1
"34.80718,135.65391",1961,9.3
"34.80709,135.65398",1981,9.6
"34.80726,135.65383",1981,26
"34.80676,135.65289",1960,25.1
"34.80266,135.63483",1962,34.8
"34.80246,135.63159",1966,276.9
"34.79600,135.62758",1969,239
"34.79520,135.62713",1958,9.1
"34.79565,135.62674",1969,14.7
"34.79482,135.62653",1969,15.6
"34.79226,135.61859",1970,46.1
"34.79228,135.61848",1970,46.1
"34.78497,135.61530",1970,38.8
"34.78516,135.61520",1970,38.8
"34.78322,135.61415",1968,460
"34.78326,135.61406",1968,460
"34.76070,135.58410",1969,1070.1
"34.75909,135.58146",1969,122.2
"34.75677,135.57712",1969,209.5
"34.75478,135.57576",1969,140.5
"34.75489,135.57550",1969,139.5
"34.71971,135.54786",1979,38.4
"34.69748,135.52404",1930,188.9
"34.69763,135.52440",2006,227
"34.69759,135.50948",1971,18
"34.69775,135.50949",1971,18
"34.69923,135.46897",1926,33.5
"34.69960,135.46865",1926,724.5
"34.71008,135.45648",1924,30
"34.71330,135.45078",1926,220.1
"34.57062,135.63638",2001,178.1
"34.58145,135.62365",1932,18.3
"34.59270,135.61873",1933,13.6
"34.62471,135.55995",1986,22.3
"34.63910,135.53510",1979,23.9
"34.64005,135.53421",1986,12.9
"34.63941,135.53382",1967,9.9
"34.63952,135.53386",1967,9.9
"34.61125,135.48664",1989,13.3
"34.60275,135.48280",1936,17.9
"34.59856,135.48088",1937,204.5
"34.58543,135.46970",1964,24.1
"34.58241,135.46681",1932,75
"34.57838,135.46816",1964,39
"34.57825,135.46802",1964,34
"34.57325,135.47597",1975,2876.4
"34.57214,135.47488",1980,223.3
"34.57205,135.47463",1980,198.1
"34.55251,135.46147",1975,47.3
"34.55250,135.46161",1971,47.3
"34.55254,135.46134",1971,47.3
"34.54629,135.45795",1979,483.5
"34.50941,135.43453",1980,9.8
"34.50951,135.43442",1980,9.8
"34.48986,135.42083",1984,359.9
"34.48355,135.41448",1978,90
"34.48363,135.41436",1978,90
"34.48238,135.41350",1989,187.5
"34.48263,135.41315",1989,172
"34.48085,135.41174",1973,59.6
"34.48100,135.41169",1973,59.6
"34.48016,135.41102",1973,74.3
"34.48026,135.41095",1973,74.3
"34.47711,135.40721",1985,345.3
"34.46295,135.39437",1979,30.5
"34.46322,135.39435",1979,38.3
"34.45232,135.38334",1983,407.8
"34.44766,135.37125",1971,37.5
"34.44772,135.37116",1971,37.5
"34.44033,135.36351",1979,407.2
"34.44035,135.36342",1979,407.2
"34.43862,135.36262",1971,200.3
"34.43870,135.36238",1971,200.3
"34.43282,135.35894",1971,37.5
"34.43294,135.35890",1971,37.5
"34.42657,135.34498",1972,28.2
"34.42666,135.34492",1972,28.2
"34.41674,135.33660",1980,557.8
"34.41296,135.33313",1973,26
"34.41318,135.33299",1973,26
"34.37996,135.28866",1978,129.3
"34.38003,135.28858",1981,129.3
"34.35949,135.26835",1982,78.6
"34.35330,135.26045",1982,83.4
"34.35366,135.26043",1982,83.4
"34.35374,135.26068",2002,113
"34.35270,135.25949",2002,212
"34.35132,135.25793",2001,342
"34.35083,135.25771",1998,44.9
"34.35116,135.25760",1998,41.4
"34.34855,135.25630",2002,535
"34.34472,135.25298",2002,335.5
"34.34424,135.25263",2001,40
"34.34464,135.25270",2001,44
"34.34273,135.25022",2001,514.5
"34.34063,135.24858",2000,242.9
"34.34080,135.24835",2000,234.2
"34.33285,135.23234",2002,87
"34.33362,135.22277",2003,119
"34.33340,135.22261",2002,43
"34.33377,135.22213",2002,46
"34.33321,135.22055",2003,35.5
"34.32984,135.21467",2003,109
"34.32882,135.21308",2003,140
"34.32610,135.18519",2011,34
"34.32634,135.17783",2011,45.2
"34.32626,135.18299",2011,352
"34.32614,135.17790",2011,35.5
"34.32556,135.20472",2011,210.5
"34.32283,135.19934",2011,191
